ID,Age,Age_Category,Education,Marital_Status,Income,Income_Category,Kids,Kidhome,Teenhome,Registered_Year,Registered_Month,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchase,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_Acc_Cmp,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntWinesCat,MntFruitsCat,MntMeatProductsCat,MntFishProductsCat,MntSweetProductsCat,MntGoldProdsCat,TotalPurchaseCat,NumDealsCat,NumWebCat,NumCatalogCat,NumStoreCat,NumWebVisitsCat
5524,67,3. Old,Graduate,Single,58138.0,3. Upper-Middle,0,0,0,2012,September,635,88,546,172,88,88,1617,3,8,10,4,7,0,0,0,0,0,0,0,1,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Amount Purchases,High Number of Total Purchase,Medium to High Number Purchases,High Number Purchases,High Number Purchases,Medium to Low Number Purchases,Medium to High Number Visit
2174,70,3. Old,Graduate,Single,46344.0,2. Lower-Middle,2,1,1,2014,March,11,1,6,2,1,6,27,2,1,1,2,5,0,0,0,0,0,0,0,0,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Visit
4141,59,2. Elderly,Graduate,Relationship,71613.0,4. Upper,0,0,0,2013,August,426,49,127,111,21,42,776,1,8,2,10,4,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Number of Total Purchase,Low Number Purchases,High Number Purchases,Medium to Low Number Purchases,High Number Purchases,Medium to Low Number Visit
6182,40,1. Adult,Graduate,Relationship,26646.0,1. Lower,1,1,0,2014,February,11,4,20,10,3,5,53,2,2,0,4,6,0,0,0,0,0,0,0,0,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,Medium to Low Number Visit
5324,43,1. Adult,Post Graduate,Relationship,58293.0,3. Upper-Middle,1,1,0,2014,January,173,43,118,46,27,15,422,5,5,3,6,5,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,Medium to Low Number Visit
7446,57,2. Elderly,Post Graduate,Relationship,62513.0,3. Upper-Middle,1,0,1,2013,September,520,42,98,0,42,14,716,2,6,4,10,6,0,0,0,0,0,0,0,0,High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Low Amount Purchases,High Amount Purchases,Medium to Low Amount Purchases,Medium to High Number of Total Purchase,Medium to Low Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,High Number Purchases,Medium to Low Number Visit
965,53,2. Elderly,Graduate,Single,55635.0,3. Upper-Middle,1,0,1,2012,November,235,65,164,50,49,27,590,4,7,3,7,6,0,0,0,0,0,0,0,0,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Amount Purchases,High Amount Purchases,Medium to High Amount Purchases,Medium to High Number of Total Purchase,High Number Purchases,High Number Purchases,Medium to High Number Purchases,Medium to High Number Purchases,Medium to Low Number Visit
6177,39,1. Adult,Post Graduate,Relationship,33454.0,1. Lower,1,1,0,2013,May,76,10,56,3,1,23,169,2,4,0,4,8,0,0,0,0,0,0,0,0,Medium to Low Amount Purchases,Medium to High Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Medium to Low Number of Total Purchase,Medium to Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Medium to Low Number Purchases,High Number Visit
4855,50,2. Elderly,Post Graduate,Relationship,30351.0,1. Lower,1,1,0,2013,June,14,0,24,3,3,2,46,1,3,0,2,9,0,0,0,0,0,0,0,1,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Medium to Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
5899,74,3. Old,Post Graduate,Relationship,5648.0,1. Lower,2,1,1,2014,March,28,0,6,1,1,13,49,1,1,0,0,20,1,1,0,0,0,0,0,0,Medium to Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Low Amount Purchases,Medium to Low Amount Purchases,Low Number of Total Purchase,Low Number Purchases,Low Number Purchases,Low Number Purchases,Low Number Purchases,High Number Visit
